train,test
5.59785291293726E-4,5.33952882630785E-4
5.54604769786966E-4,5.274970652631155E-4
5.495067295700125E-4,5.190033568232762E-4
5.412935321581734E-4,5.142461490694602E-4
5.333256906294913E-4,5.084179506778906E-4
5.260557811834103E-4,5.060744861060872E-4
5.18162610461322E-4,4.979228642889501E-4
5.025948333036566E-4,4.922191116951192E-4
4.922526363116399E-4,4.843979012849905E-4
4.8513650305577276E-4,4.7602882219370855E-4
4.766644426128816E-4,4.7003030415182945E-4
4.7082002387654174E-4,4.6451212812048713E-4
4.6441234419246493E-4,4.6088518590143304E-4
4.5913850258871207E-4,4.576958188064298E-4
4.553771268155729E-4,4.552145350795885E-4
4.516014919454912E-4,4.5006148394636895E-4
4.471885615506013E-4,4.4230034874369545E-4
4.409128483715202E-4,4.3385510029319137E-4
4.343276926286106E-4,4.2483545856950353E-4
4.27665628508207E-4,4.226142519431252E-4
4.2467541372638443E-4,4.199836625816106E-4
4.2276681714697567E-4,4.185532482623941E-4
4.209994870054065E-4,4.151086654711221E-4
4.179216448636633E-4,4.0984362500857865E-4
4.116563194460192E-4,4.0340185908062815E-4
4.0599429331494825E-4,4.0029884240887003E-4
4.0394425440703693E-4,3.99119466385111E-4
4.026860963385761E-4,3.9801386318215516E-4
4.018091595650486E-4,3.9694603104366044E-4
4.0050804650253E-4,3.938445733316333E-4
3.971230274658529E-4,3.889525754244441E-4
3.919799524257E-4,3.8339018328274006E-4
3.848752698832471E-4,3.7597963349587764E-4
3.770756834369965E-4,3.723995602710591E-4
3.744367020387042E-4,3.7134778141766024E-4
3.734733969793528E-4,3.7025485080588916E-4
3.724878082800517E-4,3.6831557839342156E-4
3.7016937326779666E-4,3.640129951705635E-4
3.661069404361923E-4,3.5760979743295273E-4
3.608257508187719E-4,3.5458659855297313E-4
3.5831780786734044E-4,3.5204612439592364E-4
3.5657935681559914E-4,3.5071409334295605E-4
3.556909275412243E-4,3.4991324608642466E-4
3.546661802250625E-4,3.4841460018504475E-4
3.534164006167229E-4,3.461460691373039E-4
3.5150350904784335E-4,3.43343094042557E-4
3.489770881761681E-4,3.4072577216703095E-4
3.4680169708178773E-4,3.3876959210733625E-4
3.4459656692559606E-4,3.3722258193087114E-4
3.4322733403809117E-4,3.3609560913024626E-4
3.4162147446055826E-4,3.342001270618287E-4
3.3956225697094416E-4,3.325703381603154E-4
3.3694272961983066E-4,3.310076609787801E-4
3.351658628206173E-4,3.299717154945298E-4
3.3389762231971507E-4,3.292948128833429E-4
3.3325885532279654E-4,3.286899207483581E-4
3.3268698166206214E-4,3.2754938279302406E-4
3.315409107816792E-4,3.252008987991383E-4
3.297504206660295E-4,3.227986212043303E-4
3.2615870158217707E-4,3.167301730196406E-4
3.231044740399925E-4,3.149625737706121E-4
3.213519206356107E-4,3.138086861188644E-4
3.1989806289528863E-4,3.134802094014527E-4
3.1930458831042356E-4,3.1342316358447036E-4
3.183194892610622E-4,3.1287197577779233E-4
3.1666487399852636E-4,3.1247408003146646E-4
3.151038860998103E-4,3.1107659351520104E-4
3.134432121000853E-4,3.086429167496802E-4
3.118150935403107E-4,3.073638801797662E-4
3.106645537968248E-4,3.0580552745232805E-4
3.0990712714175497E-4,3.0530971058205926E-4
3.0942683524041173E-4,3.050459421417811E-4
3.0899776878455884E-4,3.046561618188643E-4
3.08498839717397E-4,3.0338055361717593E-4
3.068476654981443E-4,3.0057342681041296E-4
3.0486589173206214E-4,2.9801685988403617E-4
3.0278213342291554E-4,2.962019094439298E-4
3.0154717134589927E-4,2.955287466037384E-4
3.009323253322457E-4,2.949339586286388E-4
3.004629586754583E-4,2.9411666662737247E-4
